id_registry,registry,project_developer,project_name,project_type,saleable_credits_registered,credits_retired_all_time,total_buffer_pool_credits,estimated_annual_emission_reductions,project_description,methodology_version,state,project_status,start,end,crediting_period_term,certification_date,area_hectares,afolu,redd_type,public_or_indigenous_land,document_size_pages,gold_standard_ggc,vcs,ccb-silver,ccb-gold,ccb-biodiversity_gold,ccb-community_gold,ccb-climate_gold,ccb-no_distinction,ccb,ccb_development,fsc_certification,fsc_development,social_carbon,cdm,corsia,sdg,michael_greene_association,vcs_project_validator,legal_issues,legal_issues_-_more_information,ccb_project_status,ccb_project_type,ccb_project_validator,ccb_standard_edition,proponent_information,auditor_site_visit_to_and_from_date,number_of_verifications_ccb,first_verification,second_verification,third_verification,fourth_verification,fifth_verification,sixth__verification,seventh_verification
200,VERRA,Multiple Proponents,Velotex Ceramic Switching Fuel Project,Energy Production or Conservation,222834,218141,NA,31774,Energy industries (renewable/non-renewable sources),AMS-I.E.,SE,Registered,2006-04-01,2026-03-31,"2nd, 01/04/2016 - 31/03/2026",NA,NA,NA,NA,0,36,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,Tuev Nord Cert GmbH (Tuev Nord),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,VERRA,Multiple Proponents,Barbosa Ceramic Fuel Switching Project,Energy Production or Conservation,218510,192833,NA,19971,Energy industries (renewable/non-renewable sources),AMS-I.E.,PA,Registered,2007-12-01,2027-11-30,"2nd, 01/12/2017 - 30/11/2027",NA,NA,NA,NA,0,48,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,Earthood Services Private Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,VERRA,Multiple Proponents,Bom Jesus Ceramic Fuel Switching Project,Energy Production or Conservation,117942,66352,NA,9356,Energy industries (renewable/non-renewable sources),AMS-I.E.,PE,Registered,2007-01-01,2016-12-31,01/01/2007 - 12/31/2016,NA,NA,NA,NA,0,64,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,Earthood Services Private Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,VERRA,Companhia de Fiação e Tecidos Santo Antonio,Fuel oil to animal tallow switching at Companhia de Fiação e Tecidos Santo Antonio,Energy Production or Conservation,13523,13523,NA,14692,Energy industries (renewable/non-renewable sources),AMS-I.C.,MG,Registered,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,Tuev Nord Cert GmbH (Tuev Nord),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,VERRA,Energest SA,UHE Mascarenhas Power Upgrading Project,Energy Production or Conservation,29903,29881,NA,50466,Energy industries (renewable/non-renewable sources),ACM0002,ES,Registered,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,Bureau Veritas Certification Holding SAS (Bureau Veritas),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304,VERRA,Centrais Eletricas do Rio Jordao S.A. - ELEJOR,Fundao Santa-Clara Energetic Complex Project (FSCECP),Energy Production or Conservation,385070,84674,NA,265585,Energy industries (renewable/non-renewable sources),ACM0002,PR,Registered,2007-10-01,2028-09-30,"3rd, 01/10/2021 - 30/09/2028",NA,NA,NA,NA,0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,Bureau Veritas Certification Holding SAS (Bureau Veritas),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
322,VERRA,Multiple Proponents,Lara Ceramic fuel switching project,Energy Production or Conservation,56741,28967,NA,10275,Energy industries (renewable/non-renewable sources),AMS-I.C.,SP,Registered,2008-04-01,2016-03-31,"CREDITING PERIOD HAS EXPIRED, 01/04/2006 - 31/03/2016",NA,NA,NA,NA,0,45,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,Tuev Nord Cert GmbH (Tuev Nord),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,VERRA,Indústria Cerâmica Panorama LTDA,Panorama Ceramic Fuel Switching Project,Energy Production or Conservation,31840,27240,NA,7398,Energy industries (renewable/non-renewable sources),AMS-I.E.,SP,Registered,2006-08-01,2016-07-31,"CREDITING PERIOD HAS EXPIRED, 01/08/2006 - 31/07/2016",NA,NA,NA,NA,0,45,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,Tuev Nord Cert GmbH (Tuev Nord),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
329,VERRA,Social Carbon Company,"Nova Dutra, São Silvestre and Vila Nova Fuel Switching Project",Energy Production or Conservation,126778,125037,NA,19599,Energy industries (renewable/non-renewable sources),AMS-I.C.,RJ,Registered,2006-04-01,2026-03-31,"2nd, 01/04/2016 - 31/03/2026",NA,NA,NA,NA,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,Tuev Nord Cert GmbH (Tuev Nord),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
332,VERRA,Dori Alimentos LTDA.,Dori Alimentos Ltda - Biomass Based Project - Brazil,Energy Production or Conservation,219965,197031,NA,11377,Energy industries (renewable/non-renewable sources),AMS-I.C.,SP/PR,Registered,2006-04-01,2026-03-31,"2nd, 01/04/2016 - 31/03/2026",NA,NA,NA,NA,0,38,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,Earthood Services Private Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
