id_registry;registry;project developer;project name;project type;saleable credits registered;credits retired (all time);total buffer pool credits;estimated annual emission reductions;project description;protocol/methodology version;state;project status;document size (pages);gold standard ggc;vcs;ccb-silver;ccb-gold;ccb-biodiversity gold;ccb-community gold;ccb-climate gold;ccb-no distinction;ccb;ccb_development;fsc certification;fsc_development;social carbon;cdm;corsia;sdg;michael_greene_association;area in hectares (ha);afolu;redd type;public_or_indigenous_land;vcs project validator;project_start_crediting;project_end_crediting;crediting period term;certification date;legal issues;legal issues - more information;ccb project status;ccb project type;ccb project validator;ccb standard edition;proponent information;auditor site visit to and from date;number of verification (ccb);first verification;second verification;third verification;fourth verification;fifth verification;sixth  verification;seventh verification
1812;VERRA;VTRM Energia Participações S.A;VTRM Renewable Energy;Energy Production or Conservation;1984213;217626;NA;652150;Energy industries (renewable/non-renewable sources);ACM0002;PE/PI;Registered;33;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;NA;0;NA;NA;NA;0;Earthood Services Private Limited;12/09/2016;12/08/2026;1st, 09/12/2016 - 08/12/2026;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1850;VERRA;Credits transferred from approved GHG program;Pesqueiro Energia Small Hydroelectric Project (PESHP);Energy Production or Conservation;5000;0;NA;17927;Energy industries (renewable/non-renewable sources);AMS-I.D.;PR;Units Transferred from Approved GHG Program;37;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;NA;0;NA;NA;NA;0;Bureau Veritas Certification Holding SAS (Bureau Veritas);07/01/2012;06/30/2019;CREDITING PERIOD HAS EXPIRED, 01/07/2012 - 30/06/2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1884;VERRA;ZSCORE S. A.;Bikes for the Planet - Brazil;Transportation;2549;990;NA;167;Transport;AMS-III.BM;SP;Registered;52;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;NA;NA;0;RINA S.p.A (RINA);01/30/2018;01/29/2028;1st, 30/01/2018 - 29/01/2028;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1902;VERRA;Credits transferred from approved GHG program;Salvador da Bahia Landfill Gas Management Project;Energy Production or Conservation;1030964;759751;NA;242950;Energy industries (renewable/non-renewable sources);ACM0002;BA;Units Transferred from Approved GHG Program;102;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;NA;0;NA;NA;NA;0;Det Norske Veritas Climate Change Services AS (DNV);01/01/2007;12/31/2013;CREDITING PERIOD HAS EXPIRED, 01/01/2007 - 31/12/2013;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1903;VERRA;VTRM Energia Participações S.A;VTRM Renewable Energy 2;Energy Production or Conservation;1005429;88251;NA;439950;Energy industries (renewable/non-renewable sources);ACM0002;PI;Registered;54;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;NA;0;NA;NA;NA;0;Earthood Services Private Limited;08/02/2017;08/01/2027;1st, 02/08/2017 - 01/08/2027;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1953;VERRA;Amazon Reforestation Consortium.;Floresta Verde REDD+ Project (former  The ARC REDD+ Project);REDD+;941618;44104;119549;340000;Agriculture Forestry and Other Land Use;VM0015;PA;Registered;221;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17;1;53528;REDD;AUD;0;4K Earth Sciences Private Limited;01/01/2016;12/31/2045;1st, 01/01/2016 - 31/12/2045;09/28/2020;NA;NA;Under Verification;Reduced Emissions from Deforestation and Degradation;4K Earth Sciences Private Limited;CCB Third Edition;NA;NA;1;KBS Certification Services Limited;NA;NA;NA;NA;NA;NA
1969;VERRA;Amazon Reforestation Consortium.;Carbono Verde AR Project;Forestry, non REDD+;0;0;NA;516780;Agriculture Forestry and Other Land Use;AR-ACM0003;PA;Registered;33;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;NA;1;39150;ARR;NA;0;4K Earth Science Private Limited;01/01/2016;12/31/2045;1st, 01/01/2016 - 31/12/2045;12/06/2020;NA;NA;Under Verification;Afforestation, Reforestation and Revegetation;NA;CCB Third Edition;NA;14-May-2021 to 22-May-2021;NA;NA;NA;NA;NA;NA;NA;NA
1995;VERRA;Multiple Proponents;Folha Larga Sul Renewable Energy;Energy Production or Conservation;0;0;NA;332753;Energy industries (renewable/non-renewable sources);ACM0002;BA;Registered;61;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;NA;NA;0;RINA S.p.A (RINA);05/14/2020;05/13/2030;1st, 14/05/2020 - 13/05/2030;12/30/2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;VERRA;Alianca Geracao de Energia S.A.;Santana Renewable Energy;Energy Production or Conservation;0;0;NA;241485;Energy industries (renewable/non-renewable sources);ACM0002;RN;Registered;57;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;NA;NA;0;Earthood Services Private Limited;11/01/2021;10/31/2031;1st, 01/11/2021 - 31/10/2031;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2021;VERRA;Alianca Geracao de Energia S.A.;Gravier Renewable Energy1;Energy Production or Conservation;0;0;NA;124580;Energy industries (renewable/non-renewable sources);ACM0002;CE;Registered;54;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;NA;NA;0;Earthood Services Private Limited;08/01/2021;07/31/2031;1st, 01/08/2021 - 31/07/2031;12/23/2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
